ObservationID,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,UVIndex,Visibility_km,DewPoint,RainTomorrow
W0024,2022-04-01,Canberra,8.1,20.3,0.5,11.6,7.0,NE,24,W,S,11,16,68,26,1022.6,1015.9,,5,11.1,18.0,No,7,13.9,4.9,No
W0025,2015-11-04,Cairns,23.2,33.6,2.4,10.1,7.8,,15,SW,WSW,24,12,48,39,1022.9,1025.8,4,5,23.8,28.7,No,8,39.9,28.1,No
W0026,2022-07-29,Sydney,10.9,25.1,1.1,7.2,-10.4,NE,17,WSW,NW,11,35,39,53,1021.7,,1,3,14.7,21.3,Yes,10,7.3,,No
W0027,2015-03-20,Darwin,20.6,35.4,2.2,0.9,6.5,E,11,NNE,ENE,11,7,60,20,1016.5,1017.5,5,3,27.9,29.2,No,3,18.5,16.5,No
W0028,2020-11-01,Cairns,22.5,29.8,1.2,9.5,8.1,E,31,SSW,NE,20,25,32,35,1022.1,1012.9,2,0,25.1,28.6,No,4,36.7,18.9,No
W0029,2020-04-22,Wollongong,11.5,20.4,1.1,2.3,0.6,NW,71,SSE,ENE,48,-56.0,62,73,1001.3,1008.4,4,5,12.8,20.1,Yes,11,5.6,15.2,Yes
W0030,2015-01-07,Perth,17.6,30.5,4.8,0.9,8.0,ENE,9,NE,WNW,3,21,57,60,1013.4,1024.2,0,2,19.1,27.1,Yes,5,46.0,15.5,True
W0031,2019-08-25,Darwin,21.3,30.3,6.6,12.7,2.1,E,81,SSW,S,30,23,95,80,996.7,995.3,5,6,25.3,25.8,Yes,4,42.7,18.2,Yes
W0032,2018-11-11,Cairns,20.1,34.7,3.1,3.9,8.7,WNW,12,SE,NW,21,32,33,46,1011.8,1021.7,3,1,24.7,27.7,Yes,5,29.0,16.4,No
W0033,2018-05-25,Sydney,14.8,25.9,3.5,8.3,4.9,SE,26,W,SE,1,23,63,59,1014.6,1013.8,2,1,15.8,21.5,Yes,5,20.7,11.4,No
W0034,2017-12-07,Adelaide,12.9,20.0,1.6,7.9,6.3,NE,9,S,S,28,10,34,20,1026.5,1015.8,,2,14.1,16.8,No,2,23.9,17.3,No
W0035,2019-07-12,Sydney,15.2,28.0,1.6,9.3,11.8,NE,11,S,E,18,29,69,65,,1010.9,3,1,15.6,27.9,No,7,19.9,19.3,No
W0036,2016-11-17,Townsville,18.5,35.2,3.8,8.2,12.1,WSW,13,NW,SE,7,15,45,28,1016.4,1016.6,1,3,20.2,34.3,No,9,46.2,,No
W0037,2018-08-19,Wollongong,10.3,28.5,1.4,11.5,,,39,WNW,NNE,17,26,26,50,,1027.9,1,5,12.0,22.8,No,8,18.4,11.1,No
W0038,2019-04-07,MELBOURNE,7.8,17.8,18.3,0.7,2.3,NNW,-20,NNE,W,57,23,91,91,1006.8,995.5,5,4,10.7,13.1,No,9,29.2,3.0,Yes
W0039,2018-01-04,Canberra,5.6,19.9,2.2,5.4,7.3,SSW,24,SSE,SSE,19,8,53,17,,1020.1,0,5,12.6,13.4,No,8,47.0,,No
W0040,2022-08-16,Brisbane,18.6,26.9,1.6,3.1,8.8,NE,39,WSW,SSE,11,25,51,20,0,1013.9,1,5,19.0,25.3,No,7,24.1,19.2,No
W0041,2022-08-24,Cairns,22.9,32.0,0.7,1.3,5.1,NNW,37,SE,ESE,8,20,62,54,0,1019.2,1,5,26.1,30.9,No,9,36.5,17.9,No
W0042,2017-02-11,Perth,13.5,31.8,1.8,,7.0,WSW,10,SE,NNE,25,35,52,58,1012.6,1008.3,1,3,19.4,23.3,No,9,11.6,8.7,No
W0043,2021-02-10,Newcastle,17.0,19.5,33.2,12.7,4.1,S,45,WSW,NNW,51,57,999,75,1010.8,1008.6,4,5,17.5,19.3,Yes,7,43.6,20.9,Yes
W0044,2017-06-27,Darwin,22.2,40.0,0.2,14.0,9.9,NE,21,SW,NW,7,34,27,18,1025.7,1027.2,,5,27.3,31.5,No,11,43.2,26.3,No
W0045,2021-11-26,Canberra,6.6,20.4,2.3,,,NNE,9,NE,E,25,10,55,51,1029.6,1012.3,0,2,7.3,16.8,No,7,36.4,5.8,No
W0046,2022-06-15,Melbourne,11.9,22.7,2.3,13.9,5.7,E,41,S,N,20,6,50,50,1018.8,1010.6,5,5,13.5,19.1,No,5,45.5,15.4,No
W0047,2015-01-20,Townsville,21.3,28.2,20.4,14.1,3.8,NNE,49,E,SSE,54,32,94,98,997.6,1003.6,8,6,24.4,27.3,No,5,27.2,24.6,Yes
W0048,2015-03-07,Newcastle,16.9,28.0,13.1,9.9,1.5,SSW,92,S,WNW,44,28,86,58,1004.8,1012.7,6,4,22.0,27.3,Yes,4,29.8,17.3,Yes
W0049,2017-12-16,Townsville,23.6,31.1,1.1,10.8,11.1,SW,35,ESE,S,10,10,25,61,1014.1,1011.8,4,0,27.3,30.9,No,10,38.1,,No
W0050,2021-08-02,Wollongong,11.9,23.6,0.1,3.2,7.2,S,35,WSW,NNW,10,10,48,36,1011.8,1010.3,5,4,11.9,18.7,No,10,29.4,8.6,No
W0051,2017-01-07,Sydney,15.5,24.4,4.5,3.4,12.9,ESE,27,W,S,9,25,68,22,1013.4,1012.5,,0,18.6,22.6,No,7,8.1,13.7,No
W0052,2019-09-03,Townsville,21.4,34.3,31.8,7.8,4.0,S,45,SE,WNW,45,23,72,96,1003.9,1007.3,5,8,24.7,30.0,No,6,17.4,16.7,Yes
W0053,2015-01-19,Newcastle,10.0,21.2,24.9,11.0,5.6,W,42,W,NE,42,45,70,56,1010.8,1012.9,8,5,12.7,15.7,No,7,13.5,13.1,Yes
W0054,2017-01-29,Canberra,10.4,18.2,2.3,,7.0,SW,21,NNE,SSE,3,25,33,24,1023.4,1014.3,4,5,12.2,14.6,No,3,22.3,12.7,No
W0055,2018-12-10,Wollongong,13.1,19.5,11.2,1.5,4.6,SW,91,N,S,32,33,65,79,1014.2,1003.0,4,6,14.9,16.7,Yes,7,42.3,14.0,Yes
W0056,2017-03-15,Melbourne,12.6,18.2,3.8,14.8,4.9,WNW,13,SSE,S,30,19,28,65,,1008.9,3,5,14.3,17.5,No,9,49.9,7.6,No
W0057,2018-06-06,Adelaide,15.0,22.8,0.2,1.9,11.5,SE,34,NW,W,20,33,47,36,1027.9,1025.6,4,4,17.3,20.4,No,8,10.5,,No
W0058,2022-02-24,Cairns,21.4,35.0,0.8,1.0,7.1,SW,17,NNE,SSE,4,21,45,23,1014.7,1022.1,,3,27.3,30.4,Yes,6,37.9,22.0,No
W0059,2016-04-15,MELBOURNE,14.0,21.5,3.1,8.4,10.7,E,19,WNW,WSW,14,23,63,25,1024.6,1015.0,2,3,17.1,18.3,No,2,9.6,17.8,No
W0060,2022-07-08,Perth,14.4,22.1,0.9,5.2,4.6,ENE,38,S,NW,21,3,41,16,1017.3,,5,5,17.3,20.0,Yes,9,12.9,11.5,No
W0061,2019-05-07,Brisbane,18.8,26.7,2.3,10.6,4.6,,31,S,N,1,9,35,65,1011.3,1018.7,0,5,19.0,26.0,No,9,21.3,19.7,No
W0062,2018-03-29,Darwin,22.7,35.5,5.0,7.0,0.6,W,91,WNW,NW,46,42,90,66,1012.9,997.4,4,7,24.4,30.4,No,3,21.3,26.4,Yes
W0063,2017-04-15,Sydney,10.7,21.4,2.5,0.3,9.1,NW,32,N,WSW,13,6,68,35,1023.3,1016.9,5,2,13.9,21.1,No,3,37.7,5.9,No
W0064,2018-08-22,Hobart,10.8,20.7,4.3,,11.5,ENE,11,WSW,N,1,9,65,50,1029.3,1010.7,2,0,15.0,19.5,Yes,2,10.0,15.7,No
W0065,2016-05-10,Canberra,5.0,15.1,1.6,9.6,4.1,E,13,WSW,E,21,29,34,59,1020.4,1011.8,5,4,7.4,10.5,No,3,40.7,8.6,No
W0066,2016-12-15,Newcastle,13.8,26.3,1.7,11.0,11.3,SSW,24,E,E,16,14,67,32,1012.7,1019.2,5,4,16.9,25.9,No,6,5.7,16.4,No
W0067,2017-04-30,Brisbane,17.0,25.4,0.9,11.9,8.9,NW,16,N,SE,16,28,25,46,1012.7,1014.0,3,4,20.8,21.7,Yes,6,12.6,17.2,No
W0068,2017-10-20,Hobart,6.0,16.2,6.5,0.6,3.9,SE,80,SSW,WNW,25,22,65,70,1013.9,1006.2,8,8,8.9,12.6,No,10,30.7,10.1,Yes
W0069,2022-11-23,Townsville,22.7,36.7,1.5,6.5,6.1,WSW,32,ENE,S,30,22,39,15,1024.7,1010.7,0,0,28.1,35.3,No,9,23.9,26.5,No
W0070,2021-04-10,Canberra,5.3,19.1,3.8,4.1,4.7,,0,SW,WNW,20,17,37,47,1022.4,1026.7,1,,12.0,17.0,Yes,2,8.0,4.6,No
W0071,2022-01-08,Wollongong,11.7,21.5,4.3,10.0,11.3,WNW,30,SSW,S,2,12,57,61,1016.3,1012.3,0,1,13.2,20.7,No,3,18.2,8.5,No
W0072,2015-08-22,Townsville,23.8,28.1,0.9,8.6,12.8,SW,41,ESE,NW,13,4,59,38,,1015.0,4,,24.0,26.4,No,10,18.2,,No
W0073,2018-01-06,Melbourne,7.8,20.4,1.6,5.3,,WNW,29,SSW,S,19,19,51,59,1016.3,1019.8,4,2,7.9,14.8,Yes,7,26.7,6.9,No
W0074,2017-05-19,Melbourne,10.0,17.5,1.2,10.0,12.8,NE,8,WNW,SE,23,29,53,32,1020.5,1020.3,4,3,13.3,17.0,No,2,9.3,14.3,No
W0075,2015-05-30,Brisbane,16.6,29.4,15.0,2.9,4.9,WNW,66,W,NNE,40,26,67,64,1012.2,1008.0,6,8,22.7,28.1,Yes,11,21.8,11.6,Yes
W0076,2018-06-29,Canberra,5.9,16.4,0.1,4.5,12.3,,37,NE,N,8,32,28,25,1018.1,1018.6,0,3,9.2,13.2,No,1,18.5,7.7,No
W0077,2020-09-03,Sydney,11.4,26.8,2.9,9.9,10.1,S,28,NE,WSW,16,17,30,37,1014.6,1026.8,1,3,15.3,26.6,Yes,7,8.5,13.1,No
W0078,2018-05-15,Sydney,16.6,19.7,2.5,14.2,11.3,E,39,NE,NE,13,26,56,21,1013.5,,4,5,17.0,18.5,No,11,22.2,18.3,No
W0079,2016-03-11,Darwin,26.0,31.5,25.1,14.0,1.8,SW,90,NNW,W,41,47,61,62,2000,1007.7,5,8,27.6,29.2,Yes,2,7.9,30.9,Yes
W0080,2020-08-01,Sydney,10.6,27.7,1.6,12.0,12.6,W,0,NE,ESE,17,11,53,57,1026.5,1014.3,1,1,10.7,27.7,No,6,22.2,10.8,No
W0081,2016-03-22,Hobart,10.7,14.1,3.7,1.4,-8.3,SW,23,NW,NNE,21,14,56,35,1022.0,1013.9,,3,11.4,13.4,No,1,30.4,15.4,No
W0082,2017-02-20,Adelaide,11.1,19.8,2.8,8.8,,N,42,W,SE,13,9,64,500,1016.5,1017.0,2,1,13.8,16.3,No,2,19.3,14.7,No
W0083,2019-10-15,Brisbane,20.7,31.8,1.8,4.2,11.4,WSW,23,ENE,S,4,33,28,37,1011.4,1010.0,5,0,23.6,31.2,No,3,46.8,23.1,No
W0084,2015-02-25,Newcastle,16.9,26.5,3.0,7.7,9.2,E,25,ESE,WNW,3,22,30,33,1011.9,1011.7,4,0,20.0,25.7,No,10,28.5,19.0,No
W0085,2016-09-28,Brisbane,18.9,23.8,0.2,14.3,6.4,S,17,SSW,NW,3,15,70,38,1025.4,1026.2,1,4,19.5,22.2,Yes,6,26.4,,No
W0086,2017-06-02,Canberra,9.4,23.6,8.0,10.8,-99,SE,36,N,SE,23,19,72,68,1004.1,1008.6,6,8,12.4,18.9,Yes,5,20.4,8.2,Yes
W0087,2020-12-08,Sydney,12.5,22.1,3.5,8.1,9.9,ESE,42,WNW,WNW,18,27,64,26,1027.1,1014.1,0,1,15.7,20.0,No,10,47.6,,No
W0088,2019-04-20,Cairns,22.5,35.4,3.3,9.3,4.8,ENE,36,E,NNW,24,19,58,42,1024.1,1010.2,1,,26.9,30.0,No,11,6.6,19.4,No
W0089,2018-04-02,Adelaide,11.0,28.3,4.1,0.9,5.0,N,28,WSW,E,21,18,28,63,1011.0,1024.6,0,,11.3,24.3,No,5,31.4,12.4,No
W0090,2020-08-30,Hobart,5.5,23.6,1.3,5.9,5.7,SW,12,N,W,29,0,29,17,1030.0,1019.3,,5,11.9,16.4,No,8,25.3,9.6,No
W0091,2020-05-24,Canberra,8.9,20.0,3.0,9.2,12.7,N,36,E,ENE,21,25,32,35,1021.9,1009.3,5,2,9.2,18.3,No,7,6.4,11.6,No
W0092,2016-12-14,Wollongong,11.5,22.6,4.6,2.0,9.0,NW,33,SSE,ESE,18,22,42,50,1028.6,1019.9,4,1,12.3,19.6,Yes,3,44.3,16.3,no
W0093,2016-01-19,Brisbane,17.7,31.4,0.2,1.2,,ENE,25,NNE,SSW,20,4,43,20,,1022.4,1,5,23.1,29.3,No,2,11.0,17.8,No
W0094,2018-11-05,Canberra,9.0,17.3,4.7,1.3,5.5,,17,SSE,NE,26,20,61,33,1029.7,1020.0,0,4,11.1,16.8,No,5,41.3,12.6,No
W0095,2019-10-05,Canberra,10.4,19.1,39.1,1.5,0.1,N,72,NE,NE,48,57,200,78,996.6,993.7,7,5,12.2,15.1,No,2,39.8,5.7,Yes
W0096,2020-10-16,Perth,15.7,21.9,4.8,1.4,,NW,13,S,S,29,18,47,35,1010.8,1019.2,5,2,16.6,20.1,No,10,38.7,20.3,No
W0097,2021-07-01,Melbourne,7.5,25.0,4.7,13.3,8.6,SSE,16,NE,WNW,30,8,43,62,1012.6,1019.6,2,2,15.1,19.2,No,10,41.8,5.7,No
W0098,2021-04-14,Brisbane,15.6,23.1,3.3,8.0,10.4,ENE,8,E,E,18,14,45,55,1023.4,,1,0,19.3,20.6,No,8,48.2,13.1,No
W0099,2017-06-24,Darwin,23.7,33.2,1.7,14.5,4.0,W,38,W,NW,0,15,63,60,1013.3,,5,2,24.5,29.2,No,9,8.4,25.9,No
W0100,2020-08-27,Darwin,25.5,35.0,6.9,13.9,5.2,,0,SE,ESE,45,31,87,92,1011.0,1007.7,8,8,28.6,34.2,Yes,6,18.0,,Yes
W0101,2022-07-21,Darwin,24.2,36.8,2.8,6.4,11.2,SSW,38,W,S,28,10,38,36,1018.1,,2,5,25.9,32.3,No,6,10.7,22.1,No
W0102,2018-03-11,Darwin,22.1,33.8,3.3,14.6,12.5,S,31,N,W,8,17,67,17,1023.6,1012.5,3,4,24.4,32.8,No,5,29.1,23.2,No
W0103,2016-10-15,Canberra,9.4,200,0.5,2.7,10.1,SSE,35,SE,ESE,17,20,40,25,1010.9,1013.2,4,2,10.5,15.3,Yes,4,33.0,5.6,No
W0104,2015-02-27,Newcastle,-200,26.8,1.5,9.0,5.0,WNW,35,S,WNW,1,15,58,18,1015.6,1022.8,1,3,16.7,25.4,No,8,46.3,15.4,No
W0105,2015-05-20,Sydney,16.2,24.1,3.9,,9.4,NNE,18,NNW,WNW,18,29,29,18,1026.9,1026.9,1,3,16.5,23.4,No,11,33.4,18.7,No
W0106,2021-04-28,Newcastle,11.5,24.3,25.5,8.9,0.1,SSW,77,S,NNE,54,35,99,95,1009.5,1007.4,5,7,13.7,20.3,Yes,5,25.2,16.5,Yes
W0107,2022-06-07,Adelaide,13.5,-50°C,1.1,5.1,7.9,SSW,13,W,ESE,8,21,63,-5,1012.6,1022.5,5,0,14.4,22.0,No,11,13.8,18.2,No
W0108,2019-01-23,Wollongong,11.2,24.3,3.0,4.0,6.3,E,-20,WSW,E,26,20,70,45,1015.1,1010.3,3,3,14.4,22.6,No,10,18.2,7.0,No
W0109,2017-06-20,Sydney,16.3,26.7,0.4,2.6,-99,SW,12,E,N,17,10,59,21,1010.1,1011.8,2,3,17.7,23.2,No,3,31.5,21.2,No
W0110,2020-04-06,Cairns,24.6,27.5,35.9,2.3,5.1,47,96,E,SE,19,35,92,65,,994.5,8,4,24.9,26.1,No,2,22.2,28.0,Yes
W0111,2015-10-23,Cairns,18.9,28.9,4.3,8.5,8.0,WSW,7,ESE,SSE,18,11,106,44,1016.1,1015.9,2,1,20.6,24.3,Yes,10,9.0,22.8,No
W0112,2018-08-12,Canberra,10.3,20.2,4.2,5.4,5.5,W,11,ESE,SSE,21,17,60,35,1017.2,1015.4,0,4,14.2,15.5,Yes,9,20.1,,No
W0113,2020-08-12,Townsville,20.6,35.1,33.6,11.5,3.4,SW,40,NE,E,34,26,74,63,1009.8,1000.7,5,5,27.4,33.8,No,2,47.0,22.9,Yes
W0114,2015-10-21,Sydney,16.9,20.1,3.4,1.6,4.8,W,35,E,SE,45,45,66,91,1010.3,1008.5,,,17.6,19.7,No,7,12.9,18.2,Yes
W0115,2021-08-10,Perth,18.2,21.3,2.4,4.7,4.2,WSW,20,WSW,ESE,6,13,64,51,2000,1010.0,4,5,18.7,20.0,No,7,28.7,20.8,No
W0116,2022-08-28,Darwin,24.8,33.2,0.6,2.9,5.3,E,12,NW,ENE,11,31,42,49,1012.4,,2,4,26.7,31.4,Yes,10,32.2,24.5,No
W0117,2016-05-24,Wollongong,16.5,21.9,25.5,10.6,1.1,SW,70,ENE,ESE,37,56,71,85,995.2,997.7,5,7,17.3,20.4,Yes,9,13.8,12.0,Yes
W0118,2021-06-14,Canberra,7.8,150,-5,11.5,4.8,SW,18,NNE,NE,19,33,999,59,1011.3,1017.7,3,1,10.7,15.9,No,7,20.1,10.8,No
W0119,2019-05-12,Cairns,18.6,34.8,3.6,3.7,4.2,,21,SE,SSW,5,17,67,47,1019.1,1015.8,4,1,25.1,33.8,No,5,30.2,14.8,No
W0120,2022-09-01,Canberra,11.1,21.4,0.1,13.9,,SE,28,ENE,ESE,30,35,30,52,1012.2,,3,0,12.5,21.3,No,5,30.7,11.5,No
W0121,2016-10-24,Newcastle,16.2,21.2,3.1,2.3,10.8,N,16,E,S,7,23,30,64,1025.0,1018.4,5,,17.4,19.7,No,7,35.6,19.5,No
W0122,2019-04-25,Perth,-200,28.7,3.6,7.1,11.0,,44,NNE,W,15,26,59,58,1017.2,1018.3,4,2,20.8,25.2,Yes,4,26.4,14.9,No
W0123,2019-10-18,Darwin,21.3,37.7,1.9,6.9,10.7,ESE,29,SSW,E,22,33,57,58,1023.6,1008.6,5,2,23.4,31.2,No,6,33.1,25.2,No
W0124,2021-06-26,Townsville,23.7,27.6,2.3,6.5,-1,W,34,W,NW,4,23,27,36,1022.3,1024.9,5,4,24.3,25.8,No,11,20.8,,No
W0125,2016-01-07,Townsville,19.9,31.3°C,1.2,13.0,4.4,SW,13,WSW,NW,15,14,25,60,1012.7,1009.7,4,5,22.0,28.6,No,7,8.5,24.0,No
W0126,2022-11-04,Darwin,22.9,31.6,3.1,10.6,4.2,WNW,37,N,W,8,34,61,62,1027.3,1011.2,3,2,26.9,31.3,No,2,47.7,19.0,No
W0127,2017-09-20,Newcastle,16.3,22.2,4.8,4.2,6.3,,18,SE,WSW,20,32,43,44,,,5,5,17.8,19.5,Yes,5,22.8,12.1,No
W0128,2022-11-12,Cairns,21.0,30.3,2.2,3.3,12.5,W,31,ESE,NNW,28,23,52,51,1016.7,,3,0,21.7,27.6,No,5,11.6,22.5,No
W0129,2018-02-27,Adelaide,14.9,24.9,2.4,8.9,10.8,ENE,39,SE,SW,8,29,31,150,,1015.4,1,1,17.2,20.8,No,11,15.1,15.4,No
W0130,2017-12-26,Cairns,24.6,27.9,4.9mm,2.0,6.7,SE,22,NW,ENE,28,11,46,59,1017.3,1017.5,3,3,25.6,27.8,No,1,39.8,23.8,No
W0131,2019-08-02,Adelaide,11.3,28.9,2.0,9.3,7.4,,32,SSW,ENE,8,25,30,31,1028.5,1014.9,0,5,20.1,28.3,No,1,45.7,,No
W0132,2019-12-23,Brisbane,15.8,33.1,1.9,6.0,9.9,SSE,19,NNE,E,6,26,50,41,1015.1,1014.6,3,,21.7,27.1,No,11,31.8,15.7,No
W0133,2022-08-25,Hobart,5.7,15.7,3.4,11.7,11.3,N,39,SSE,WNW,18,10,57,48,1019.5,1008.3,0,0,10.0,14.9,Yes,4,6.1,,No
W0134,2016-08-12,Darwin,24.8,33.1,21.5,13.7,3.3,,37,NW,S,59,56,71,64,997.5,996.0,8,5,27.5,32.5,Yes,7,38.6,20.6,Yes
W0135,2018-02-24,Newcastle,15.1,24.1,16.3,0.8,1.8,,61,SE,NE,36,58,78,89,1013.0,1012.4,5,7,17.9,22.3,Yes,8,40.3,10.9,Yes
W0136,2021-04-03,Canberra,8.6,17.7,2.8,12.4,9.7,S,7,WSW,NNW,0,7,37,64,1021.1,1022.3,5,3,9.8,13.3,No,3,40.1,6.0,No
W0137,2019-11-28,Wollongong,11.1,27.6,2.5,11.6,10.4,,34,SE,W,21,33,56,43,1018.2,1026.4,2,3,11.5,25.9,No,11,35.9,8.9,No
W0138,2021-01-19,Newcastle,15.3,19.6,1.6,13.5,5.0,N,16,WNW,SSE,19,28,67,19,1029.8,1025.2,2,1,17.1,19.2,Yes,3,14.1,13.7,No
W0139,2019-01-22,Townsville,18.7,33.8,0.0,2.1,12.5,NE,16,ENE,SSW,18,6,39,30,,1014.6,0,0,21.3,30.3,Yes,11,40.8,22.5,No
W0140,2020-08-07,Cairns,23.0,29.5,3.2,0.7,8.5,N,15,SW,NW,0,20,52,61,1019.4,1024.7,2,5,23.6,29.1,No,3,38.7,20.7,No
W0141,2020-04-26,Canberra,9.2,20.0,31.2,9.7,5.7,NW,62,WSW,ENE,29,25,91,88,1014.8,995.9,5,4,11.1,17.5,Yes,8,37.7,12.4,Yes
W0142,2016-07-28,Melbourne,9.4,19.8,1.3mm,9.3,9.5,,17,ENE,NNE,4,5,67,23,1011.0,1013.2,2,2,10.7,15.4,No,8,15.7,,No
W0143,11/11/2017,Wollongong,14.8,99.9,4.2,10.5,12.0,SE,28,ESE,W,7,13,49,61,1016.4,1022.4,5,1,15.8,26.6,No,7,29.5,17.6,No
W0144,2020-05-26,Sydney,16.7,19.1,3.1,0.6,10.3,SSW,37,SSE,WSW,16,23,52,56,1018.2,1016.5,5,4,17.6,18.1,No,9,20.1,14.9,No
W0145,2016-08-20,Townsville,20.1,33.6,2.2,5.2,9.5,SSE,8,WNW,W,22,23,57,51,1022.6,1008.1,3,2,20.3,32.0,Yes,9,49.0,17.3,No
W0146,2019-08-14,Perth,15.4,25.6,3.1,0.9,100,SE,17,E,WNW,1,14,60,64,1020.9,1025.5,3,0,20.2,21.7,Yes,9,7.1,12.8,No
W0147,2021-02-07,Wollongong,12.0,29.2,11.4,7.2,-3.4,SSW,96,ENE,WSW,33,28,86,83,1007.5,1006.2,8,5,12.3,28.9,Yes,6,48.3,11.5,Yes
W0148,2019-03-21,Perth,13.0,25.0,2.4,2.2,7.7,ESE,34,NE,NE,9,26,27,49,1016.1,1016.7,3,1,17.9,22.4,No,8,22.5,11.9,No
W0149,2022-02-28,Wollongong,14.0,24.6,35.0,5.1,3.3,WSW,100,E,NNW,20,26,84,58,1012.8,1002.6,7,7,17.0,24.0,No,4,47.3,,N
